,Código,Provincia,C1,,,,,,,
,2,Caba,  3 095 454,,,,,,,
,6,Buenos Aires,  17 408 906,,,,,,,
,10,Catamarca,   427 625,,,,,,,
,14,Córdoba,  3 812 064,,,,,,,
,18,Corrientes,  1 209 671,,,,,,,
,22,Chaco,  1 124 603,,,,,,,
,26,Chubut,   589 454,,,,,,,
,30,Entre Ríos,  1 415 097,,,,,,,
,34,Formosa,   605 507,,,,,,,
,38,Jujuy,   809 364,,,,,,,
,42,La Pampa,   359 193,,,,,,,
,46,La Rioja,   382 453,,,,,,,
,50,Mendoza,  2 030 773,,,,,,,
,54,Misiones,  1 273 347,,,,,,,
,58,Neuquén,   708 578,,,,,,,
,62,Río Negro,   747 697,,,,,,,
,66,Salta,  1 434 225,,,,,,,
,70,San Juan,   819 445,,,,,,,
,74,San Luis,   540 548,,,,,,,
,78,Santa Cruz,   335 677,,,,,,,
,82,Santa Fe,  3 519 059,,,,,,,
,86,Santiago del Estero,  1 057 752,,,,,,,
,90,Tucumán,  1 727 337,,,,,,,
,94,Tierra del Fuego,   184 958,,,,,,,
,,,,,,,,,,
"INDEC - CENSO NACIONAL DE POBLACION, HOGARES Y VIVIENDAS 2022",,,,,,,,,,
Instituto Nacional de Estadística y Censos,,,,,,,,,,
"Procesado con Redatam 7, CEPAL/CELADE",,,,,,,,,,
